order,book_name,author
1,บ้านวิกลคนประหลาด,Uketsu
2,ชื่อของเธอคือ,Nam-joo
3,Kim ji young born 1982,Nam-joo
4,The Bluest Eye,Toni Morrison
5,ปรัชญาแมว ปัญญาเหมียว แมวและความหมายของชีวิต,John Gray
6,The School for Good Mothers,Jessamin Chan
7,The Prison Healer,Lynette Noni
8,a brief history of time,Stephen Hawking
9,The Maid,Nita Prose
10,ร้านชำสำหรับคนอยากตาย : Suicide Shop,ฌอง เติลเล่
11,ปาฏิหาริย์ร้านชำของคุณนามิยะ,ฮิงาชิโนะ เคโงะ
12,คดีฆาตกรรมในบ้านสิบเหลี่ยม,Yukito Ayatsuji
13,UNTITLED CASE: HUMAN HORROR ชมรมคนหัวลุก,ยชญ์ บรรพพงศ์ และธัญวัฒน์ อิพภูดม
14,UNTITLED CASE : PIECE / MAKER คน / สับ / สิ่งของ,ยชญ์ บรรพพงศ์ และธัญวัฒน์ อิพภูดม
15,จะเป็นผู้คอยรับไว้ไม่ให้ใครร่วง,เจ.ดี.ซาลินเจอร์
16,Percy Jackson and the last olympians,Rick Riordan
17,The lost hero,Rick Riordan
18,The sword of summer,Rick Riordan
19,The hidden oracle,Rick Riordan
20,Eleanor oliphant is completely fine,Gail Honeyman